velocity_mps,snr_dB,cdf
1.0,18.34170854271357,0.9786
1.0,18.542713567839197,0.9814
1.0,18.743718592964825,0.9846
1.0,18.944723618090453,0.9862
1.0,19.14572864321608,0.989
1.0,19.34673366834171,0.9906
1.0,19.547738693467338,0.9918
1.0,19.748743718592966,0.993
1.0,19.949748743718594,0.9944
1.0,20.150753768844222,0.9952
1.0,20.35175879396985,0.996
1.0,20.55276381909548,0.9964
1.0,20.753768844221106,0.997
1.0,20.954773869346734,0.997
1.0,21.155778894472363,0.9978
1.0,21.35678391959799,0.998
1.0,21.55778894472362,0.9982
1.0,21.758793969849247,0.9984
1.0,21.959798994974875,0.9986
1.0,22.160804020100507,0.9988
1.0,22.36180904522613,0.9988
1.0,22.562814070351763,0.9992
1.0,22.763819095477388,0.9994
1.0,22.96482412060302,0.9994
1.0,23.165829145728644,0.9996
1.0,23.366834170854275,0.9998
1.0,23.5678391959799,0.9998
1.0,23.76884422110553,0.9998
1.0,23.969849246231156,0.9998
1.0,24.170854271356788,0.9998
1.0,24.371859296482413,0.9998
1.0,24.572864321608044,1.0
1.0,24.77386934673367,1.0
1.0,24.9748743718593,1.0
1.0,25.175879396984925,1.0
1.0,25.376884422110557,1.0
1.0,25.57788944723618,1.0
1.0,25.778894472361813,1.0
1.0,25.979899497487438,1.0
1.0,26.18090452261307,1.0
1.0,26.381909547738694,1.0
1.0,26.582914572864325,1.0
1.0,26.78391959798995,1.0
1.0,26.98492462311558,1.0
1.0,27.185929648241206,1.0
1.0,27.386934673366838,1.0
1.0,27.587939698492463,1.0
1.0,27.788944723618094,1.0
1.0,27.98994974874372,1.0
1.0,28.19095477386935,1.0
1.0,28.391959798994975,1.0
1.0,28.592964824120607,1.0
1.0,28.79396984924623,1.0
1.0,28.994974874371863,1.0
1.0,29.195979899497488,1.0
1.0,29.39698492462312,1.0
1.0,29.597989949748744,1.0
1.0,29.798994974874375,1.0
1.0,30.0,1.0
2.0,-10.0,0.0
2.0,-9.798994974874372,0.0
2.0,-9.597989949748744,0.0
2.0,-9.396984924623116,0.0
2.0,-9.195979899497488,0.0
2.0,-8.99497487437186,0.0
2.0,-8.793969849246231,0.0
2.0,-8.592964824120603,0.0
2.0,-8.391959798994975,0.0
2.0,-8.190954773869347,0.0
2.0,-7.989949748743719,0.0
2.0,-7.788944723618091,0.0
2.0,-7.5879396984924625,0.0
2.0,-7.386934673366834,0.0
2.0,-7.185929648241206,0.0
2.0,-6.984924623115578,0.0
2.0,-6.78391959798995,0.0
2.0,-6.582914572864322,0.0
2.0,-6.381909547738694,0.0
2.0,-6.180904522613066,0.0
2.0,-5.979899497487437,0.0
2.0,-5.7788944723618085,0.0
2.0,-5.57788944723618,0.0
2.0,-5.376884422110552,0.0
2.0,-5.175879396984924,0.0
2.0,-4.974874371859296,0.0
2.0,-4.773869346733668,0.0
2.0,-4.57286432160804,0.0
